Date,open,high,low,close,volume,adjusted_close
1992-05-01,3.250,3.250,3.250,3.250,0,2.268
1992-05-04,3.375,3.375,3.250,3.375,12100,2.355
1992-05-05,3.375,3.500,3.375,3.500,3200,2.443
1992-05-06,3.500,3.750,3.500,3.750,13200,2.617
1992-05-07,3.625,3.750,3.625,3.750,1400,2.617
1992-05-08,3.625,3.625,3.625,3.625,600,2.530
1992-05-11,3.625,3.625,3.500,3.500,8600,2.443
1992-05-12,3.375,3.375,3.375,3.375,1700,2.355
1992-05-13,3.375,3.500,3.375,3.500,800,2.443
1992-05-14,3.500,3.500,3.500,3.500,100,2.443
1992-05-15,3.625,3.625,3.625,3.625,500,2.530
1992-05-18,3.500,3.500,3.375,3.375,1000,2.355
1992-05-19,3.500,3.500,3.500,3.500,2000,2.443
1992-05-20,3.500,3.625,3.500,3.500,4100,2.443
1992-05-21,3.500,3.500,3.500,3.500,700,2.443
1992-05-22,3.625,3.625,3.625,3.625,100,2.530
1992-05-26,3.500,3.500,3.375,3.375,3500,2.355
1992-05-27,3.375,3.375,3.375,3.375,500,2.355
1992-05-28,3.500,3.500,3.375,3.375,1100,2.355
1992-05-29,3.500,3.500,3.500,3.500,100,2.443
1992-06-01,3.625,3.625,3.625,3.625,500,2.530
1992-06-02,3.500,3.500,3.375,3.500,3200,2.443
1992-06-03,3.500,3.500,3.500,3.500,2000,2.443
1992-06-04,3.500,3.500,3.500,3.500,100,2.443
1992-06-05,3.500,3.500,3.500,3.500,100,2.443
1992-06-08,3.375,3.500,3.375,3.375,500,2.355
1992-06-09,3.375,3.500,3.375,3.375,7000,2.355
1992-06-10,3.375,3.375,3.375,3.375,500,2.355
1992-06-11,3.250,3.375,3.250,3.375,3000,2.355
1992-06-12,3.375,3.375,3.375,3.375,6000,2.355
1992-06-15,3.500,3.500,3.500,3.500,100,2.443
1992-06-16,3.500,3.500,3.500,3.500,2000,2.443
1992-06-17,3.375,3.375,3.250,3.250,1400,2.268
1992-06-18,3.250,3.250,3.125,3.125,4500,2.181
1992-06-19,3.125,3.250,3.125,3.250,2300,2.268
1992-06-22,3.125,3.250,3.125,3.250,1000,2.268
