Date,Last Price,Bloomberg Issuer Default Risk Implied CDS Spread,Volume,Cumulative Total Return,High Price,Low Price,Moving Average 10 Day,RSI 3 Day,RSI 30 Day,Current Market Cap,Overridable Alpha,Overridable Adjusted Beta,Last Price,Alpha for Beta Plus Minus,Price to Sales Ratio,News Sentiment - Daily Average,Twitter Sentiment Daily Average,Book Value per Share,EBITDA,Quick Ratio,Profit Margin,Return on Invested Capital,Total Debts to Total Capital
2/26/2013,14.18,32.6256,11966735,132.3967,14.41,14.08,14.178,39.3509,69.7564,15792220160,0.0394,0.8016,14.18,0.1249,3.2746,0.0225,,,,,,,
2/27/2013,14.26,32.5457,11665378,133.7079,14.4,14.03,14.253,49.821,70.2455,15881316352,0.0387,0.8012,14.26,0.1255,3.2872,0.0754,,,,,,,
2/28/2013,14.295,32.5108,7461309,134.2815,14.54,14.25,14.3095,54.9273,70.4617,15920295936,0.0392,0.8012,14.295,0.1219,3.2906,0.1213,,,,,,,
3/1/2013,14.35,32.4562,4564863,135.1829,14.375,14.04,14.3445,63.6472,70.8065,15981548544,0.0405,0.8005,14.35,0.1285,3.3376,,,,,,,,
3/4/2013,14.365,32.4008,3956515,135.4287,14.48,14.22,14.344,66.3133,70.9023,15998254080,0.0361,0.8,14.365,0.1298,3.3559,,,,,,,,
3/5/2013,14.57,32.2007,4901484,138.7885,14.58,14.38,14.338,86.544,72.1928,16226562048,0.0429,0.7985,14.57,0.1363,3.4292,,,,,,,,
3/6/2013,14.65,32.0869,8825921,140.0996,14.82,14.55,14.379,90.0439,72.682,16315658240,0.0437,0.7985,14.65,0.1309,3.3994,0.426,,,,,,,
3/7/2013,14.97,31.786,11065880,145.3441,15.01,14.59,14.448,96.1119,74.5354,16672040960,0.0477,0.7988,14.97,0.1306,3.3948,,,,,,,,
3/8/2013,14.84,31.907,4701441,143.2135,14.95,14.67,14.481,70.0832,72.4691,16527260672,0.0431,0.7973,14.84,0.1345,3.404,,,,,,,,
3/11/2013,14.82,32.1287,5364111,142.8857,14.8501,14.69,14.53,65.9609,72.1507,16504986624,0.0417,0.7987,14.82,0.1365,3.4312,0.0266,,,,,,,
3/12/2013,14.86,32.0912,5648445,143.5413,14.88,14.69,14.598,71.0665,72.4016,16549533696,0.0446,0.7979,14.86,0.1362,3.4429,,,,,,,,
3/13/2013,14.979,31.9865,6656184,145.4916,15.05,14.81,14.6699,82.6677,73.1459,16682063872,0.046,0.798,14.979,0.1271,3.3559,,,,,,,,
